bookId;genres
57586;fiction&historical-fiction&classics&literature&historical&novels&scandinavian-literature&westerns&americana&the-united-states-of-america
56674;fiction&historical-fiction&war&china&classics&historical&world-war-ii&japan&asia&novels
56373;historical-fiction&fiction&lgbt&romance&queer&historical&lesbian&adult&victorian&gay
56034;fiction&classics&historical-fiction&romance&literature&historical&british-literature&novels&literary-fiction&20th-century
55428;non-fiction&history&biography&memoir&war&world-war-i&classics&autobiography&biography-memoir&20th-century
55403;history&non-fiction&military-fiction&war&military-history&africa&historical&american-history&politics&somalia
55030;science&non-fiction&physics&astronomy&history&space&philosophy&classics&popular-science&audiobook
54270;history&non-fiction&biography&politics&philosophy&classics&autobiography&war&historical&memoir
53969;fiction&historical-fiction&novels&spanish-literature&latin-american&nobel-prize&literature&classics&latin-american-literature&politics
53835;classics&fiction&historical-fiction&romance&literature&american&historical&novels&new-york&20th-century
53413;fiction&classics&spanish-literature&literature&latin-american&novels&magical-realism&latin-american-literature&20th-century&unfinished
53064;classics&fiction&short-stories&german-literature&literature&germany&lgbt&20th-century&novels&queer
53022;poetry&classics&irish-literature&fiction&ireland&literature&20th-century&19th-century&nobel-prize&classic-literature
51606;fiction&classics&war&historical-fiction&horror&literature&novels&world-war-i&politics&historical
51504;fiction&classics&novels&literature&american&humor&contemporary&20th-century&poetry&the-united-states-of-america
50833;fiction&classics&chick-lit&romance&contemporary&novels&adult&new-york&historical-fiction&drama
50275;fiction&classics&new-york&american&novels&literature&contemporary&thriller&dark&literary-fiction
50181;classics&fiction&literature&adult&essays&school&historical-fiction
49552;classics&fiction&philosophy&france&literature&novels&french-literature&school&literary-fiction&20th-century
49256;humor&non-fiction&classics&reference&language&philosophy&comedy&literature&american&dictionaries
48464;short-stories&fiction&classics&southern-gothic&literature&southern&american&gothic&literary-fiction&20th-century
48328;fiction&classics&historical-fiction&novels&american&literature&literary-fiction&contemporary&the-united-states-of-america&20th-century
48132;non-fiction&memoir&biography&humor&animals&travel&classics&nature&greece&autobiography
47401;fiction&romance&magical-realism&france&fantasy&contemporary&historical-fiction&food&chick-lit&adult
